age	status	sex	orientation	body_type	diet	drinks	drugs	education	ethnicity	height	income	job	location	offspring	pets	smokes	speaks
35	single	m	straight	average	mostly other	often	sometimes	working on space camp	white	70	80000	hospitality / travel	"oakland, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	"english (fluently), spanish (poorly), french (poorly)"
23	single	m	straight	thin	vegetarian	socially		working on college/university	white	71	20000	student	"berkeley, california"	doesn't want kids	likes cats	no	"english, german (poorly)"
28	seeing someone	m	straight	average	mostly anything	socially	never	graduated from college/university	white	72	40000	banking / financial / real estate	"daly city, california"		likes cats	no	"english (fluently), sign language (poorly)"
30	single	f	straight	skinny	mostly anything	socially	never	graduated from high school	white	66	30000	sales / marketing / biz dev	"san francisco, california"		has dogs and likes cats	no	english
29	single	f	straight	thin	mostly anything	socially	never	working on college/university	"hispanic / latin, white"	62	50000	other	"san leandro, california"	"doesn't have kids, but wants them"	likes dogs and has cats	no	english
40	single	m	straight	fit		socially		graduated from college/university	white	71	60000	construction / craftsmanship	"san francisco, california"	doesn't have kids	likes dogs	no	"english (okay), french (poorly), spanish (poorly), c++ (okay)"
31	single	f	bisexual	thin	strictly anything	socially	sometimes	dropped out of space camp		67	1000000	artistic / musical / writer	"san francisco, california"	doesn't have kids		no	"english (fluently), belarusan, gujarati, lisp, russian (fluently)"
22	single	m	straight	athletic	mostly anything	rarely	never	working on college/university	asian	65	20000	education / academia	"san jose, california"			no	english (fluently)
35	single	m	straight	athletic	mostly anything	socially	sometimes	graduated from space camp	"native american, white"	73	150000	artistic / musical / writer	"emeryville, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	"english (poorly), spanish (poorly)"
31	single	f	straight	curvy	mostly anything	socially	never	graduated from law school	indian	61	50000	law / legal services	"oakland, california"	"doesn't have kids, but might want them"		no	"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)"
21	single	m	straight	fit	mostly anything	rarely	never	working on college/university	white	71	20000	entertainment / media	"san francisco, california"		likes dogs and likes cats	no	english
34	single	m	straight	fit	anything	socially	never	graduated from masters program	white	69	100000	executive / management	"san francisco, california"		likes dogs and has cats	no	"english, other (poorly)"
29	available	f	straight	a little extra			sometimes	graduated from two-year college	white	67	50000	medicine / health	"el granada, california"				english
29	single	m	straight	fit	mostly anything	socially	sometimes	graduated from college/university	white	67	40000	artistic / musical / writer	"san francisco, california"	doesn't want kids	likes dogs and likes cats	no	english (fluently)
25	single	m	straight	athletic	mostly anything	socially		graduated from college/university	white	78	80000	sales / marketing / biz dev	"san francisco, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	"english (fluently), french (okay)"
41	single	m	straight	athletic	mostly anything	socially	often	working on space camp	white	69	1000000	education / academia	"fairfax, california"			no	"english (fluently), spanish (poorly), french (poorly)"
39	single	m	straight	athletic	mostly other	socially	sometimes		white	70	100000	computer / hardware / software	"san francisco, california"		likes dogs	no	english (fluently)
21	single	m	straight	athletic	mostly anything	rarely	never	working on med school	white	72	500000	medicine / health	"burlingame, california"		has dogs	no	english
23	single	f	straight	curvy	mostly anything	rarely	never	working on college/university	"black, native american, hispanic / latin"	66	20000	other	"san francisco, california"	has a kid	likes dogs and likes cats	when drinking	english (fluently)
21	single	m	straight	thin	strictly anything	socially	often	working on space camp	"hispanic / latin, white"	70	1000000	medicine / health	"san francisco, california"	"doesn't have kids, and doesn't want any"	likes dogs	sometimes	english
27	single	m	straight	fit		socially		graduated from college/university	asian	68	150000	science / tech / engineering	"san francisco, california"		likes dogs and likes cats	no	english
27	available	m	straight	fit	strictly anything	socially		graduated from college/university	asian	68	150000	other	"san francisco, california"		likes dogs and likes cats	no	english
50	single	m	straight	average	mostly anything	often	never	college/university	white	73	80000	transportation	"benicia, california"	doesn't want kids	has cats	no	english
59	single	m	straight	fit	anything	socially	never	graduated from masters program	white	73	80000	other	"daly city, california"	doesn't want kids	likes dogs and likes cats	no	"english (fluently), english"
24	single	m	straight	skinny		socially	never	graduated from college/university	"hispanic / latin, white"	67	60000	computer / hardware / software	"san francisco, california"		likes dogs and likes cats	no	english (fluently)
50	single	m	straight	athletic		socially	never	college/university	asian	66	80000	construction / craftsmanship	"vallejo, california"	has kids	likes dogs and dislikes cats	no	english
26	single	f	gay	curvy	mostly anything	socially	never	working on college/university	"hispanic / latin, white"	63	20000	sales / marketing / biz dev	"berkeley, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	english
26	single	f	straight	fit	mostly anything	socially	never	graduated from college/university	white	68	70000	science / tech / engineering	"san francisco, california"	"doesn't have kids, but wants them"	likes dogs	no	english
29	single	m	straight	a little extra	mostly halal	often	never	dropped out of high school	white	72	250000	artistic / musical / writer	"san francisco, california"	doesn't want kids	has dogs and dislikes cats	when drinking	"english (fluently), croatian (fluently), bengali (okay)"
21	single	f	straight	fit	mostly anything	socially	never	working on college/university	hispanic / latin	66	20000	sales / marketing / biz dev	"mill valley, california"	doesn't have kids	likes dogs and likes cats	no	"english (fluently), spanish (fluently), french (poorly), portuguese (poorly)"
27	single	m	straight	average		not at all	never	graduated from college/university	white	74	30000	education / academia	"hayward, california"	doesn't have kids		no	english
28	single	f	straight	athletic	mostly anything	rarely	never	graduated from law school	asian	67	150000	law / legal services	"san francisco, california"		likes dogs and likes cats	no	english
37	single	m	straight	fit	mostly anything	not at all	never	graduated from college/university	white	79	50000	entertainment / media	"san francisco, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	english (fluently)
28	single	f	straight	thin	mostly vegetarian	rarely	never	working on ph.d program	indian	61	20000	science / tech / engineering	"berkeley, california"	"doesn't have kids, but might want them"	likes dogs	no	"english, hindi (okay), spanish (poorly)"
42	single	m	straight	fit	anything	socially	never	graduated from ph.d program	asian	71	150000	education / academia	"stanford, california"	"doesn't have kids, but wants them"	has dogs	no	english
27	single	f	bisexual	fit	anything	socially	never	graduated from college/university	asian	65	80000	medicine / health	"san pablo, california"			no	english
33	single	m	straight	athletic		often	sometimes	graduated from space camp	white	70	1000000	construction / craftsmanship	"oakland, california"		likes dogs and likes cats	no	english
29	single	m	straight	average	mostly anything	socially	sometimes	graduated from masters program	"hispanic / latin, white"	70	60000	artistic / musical / writer	"berkeley, california"	"doesn't have kids, but wants them"	likes dogs and dislikes cats	no	"english (fluently), spanish (okay), french (poorly), czech (poorly)"
23	single	f	straight	a little extra		often	sometimes	working on college/university	white	62	20000	artistic / musical / writer	"oakland, california"		likes dogs and likes cats	yes	english
66	single	f	straight	fit	mostly anything	socially	never	graduated from college/university	white	65	40000	retired	"oakland, california"		likes dogs and likes cats	no	"english, french, spanish (poorly)"
33	seeing someone	m	straight	average	strictly anything	socially		graduated from college/university	"white, other"	68	80000	other	"alameda, california"		likes dogs and likes cats	no	english
53	single	f	bisexual	fit		socially	sometimes	graduated from masters program	white	62	100000	education / academia	"orinda, california"	has kids	has dogs	when drinking	english
35	single	m	straight	average	mostly other	rarely	never	graduated from college/university	asian	67	30000	entertainment / media	"san francisco, california"	"doesn't have kids, but might want them"	likes dogs	no	english
30	single	m	straight	average	mostly anything	socially	never	graduated from two-year college	asian	69	60000	medicine / health	"san mateo, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	english
29	single	m	straight	fit	mostly other	socially	never	two-year college		80	80000	other	"berkeley, california"		likes dogs and dislikes cats	no	english (fluently)
32	seeing someone	f	straight	fit		often	sometimes	graduated from college/university	white	61	100000	artistic / musical / writer	"san francisco, california"		has dogs	no	english
28	single	m	straight	athletic	mostly anything	socially	sometimes	graduated from college/university	white	73	30000	student	"oakland, california"	"doesn't have kids, but might want them"	has dogs	no	"english (fluently), german (okay)"
34	single	f	straight	average	mostly anything	socially	never	graduated from college/university	asian	62	60000	other	"el cerrito, california"	"doesn't have kids, but wants them"	likes dogs and has cats	when drinking	english (fluently)
39	single	m	straight	thin	anything	socially	never	graduated from two-year college	white	72	50000	entertainment / media	"san francisco, california"	has kids		trying to quit	"english (fluently), spanish (okay)"
36	single	m	straight	fit		socially	sometimes		hispanic / latin	67	80000	artistic / musical / writer	"castro valley, california"	has a kid	has dogs		english
50	single	f	straight	average	mostly anything	socially	never	graduated from college/university	white	64	70000	education / academia	"berkeley, california"	has kids	has dogs and has cats	no	"english (fluently), french (okay)"
39	single	m	straight	fit	mostly vegetarian	rarely	never	graduated from masters program	white	69	80000	science / tech / engineering	"berkeley, california"	"doesn't have kids, but might want them"	likes dogs and likes cats	no	"english (okay), c++ (poorly)"
42	single	f	straight	fit	strictly anything	rarely	sometimes	graduated from college/university	white	64	80000	other	"san rafael, california"	doesn't want kids	has cats	no	"english, english"
47	single	m	straight	average	mostly anything	rarely	never	graduated from two-year college	white	69	50000	construction / craftsmanship	"san francisco, california"	"doesn't have kids, but might want them"	has dogs and likes cats	no	"english (fluently), spanish (okay)"
26	single	m	straight	curvy	strictly other	socially		working on space camp	white	76	20000	other	"berkeley, california"		likes dogs and likes cats	no	english (poorly)
28	single	m	straight	athletic	anything	socially	never	graduated from masters program	white	73	80000	medicine / health	"san francisco, california"	doesn't have kids		no	"english, spanish"
34	single	f	bisexual	curvy	anything	socially	sometimes	college/university	white	66	1000000	education / academia	"castro valley, california"		likes dogs	trying to quit	"english (fluently), spanish (okay)"
