age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,pets,smokes,speaks
35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70,80000,hospitality / travel,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (fluently), spanish (poorly), french (poorly)"
29,single,f,straight,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62,50000,other,"san leandro, california","doesn't have kids, but wants them",likes dogs and has cats,no,english
35,single,m,straight,athletic,mostly anything,socially,sometimes,graduated from space camp,"native american, white",73,150000,artistic / musical / writer,"emeryville, california","doesn't have kids, but might want them",likes dogs and likes cats,no,"english (poorly), spanish (poorly)"
29,single,m,straight,fit,mostly anything,socially,sometimes,graduated from college/university,white,67,40000,artistic / musical / writer,"san francisco, california",doesn't want kids,likes dogs and likes cats,no,english (fluently)
23,single,f,straight,curvy,mostly anything,rarely,never,working on college/university,"black, native american, hispanic / latin",66,20000,other,"san francisco, california",has a kid,likes dogs and likes cats,when drinking,english (fluently)
21,single,m,straight,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70,1000000,medicine / health,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs,sometimes,english
50,single,m,straight,average,mostly anything,often,never,college/university,white,73,80000,transportation,"benicia, california",doesn't want kids,has cats,no,english
59,single,m,straight,fit,anything,socially,never,graduated from masters program,white,73,80000,other,"daly city, california",doesn't want kids,likes dogs and likes cats,no,"english (fluently), english"
26,single,f,gay,curvy,mostly anything,socially,never,working on college/university,"hispanic / latin, white",63,20000,sales / marketing / biz dev,"berkeley, california","doesn't have kids, but might want them",likes dogs and likes cats,no,english
26,single,f,straight,fit,mostly anything,socially,never,graduated from college/university,white,68,70000,science / tech / engineering,"san francisco, california","doesn't have kids, but wants them",likes dogs,no,english
29,single,m,straight,a little extra,mostly halal,often,never,dropped out of high school,white,72,250000,artistic / musical / writer,"san francisco, california",doesn't want kids,has dogs and dislikes cats,when drinking,"english (fluently), croatian (fluently), bengali (okay)"
21,single,f,straight,fit,mostly anything,socially,never,working on college/university,hispanic / latin,66,20000,sales / marketing / biz dev,"mill valley, california",doesn't have kids,likes dogs and likes cats,no,"english (fluently), spanish (fluently), french (poorly), portuguese (poorly)"
37,single,m,straight,fit,mostly anything,not at all,never,graduated from college/university,white,79,50000,entertainment / media,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,no,english (fluently)
28,single,f,straight,thin,mostly vegetarian,rarely,never,working on ph.d program,indian,61,20000,science / tech / engineering,"berkeley, california","doesn't have kids, but might want them",likes dogs,no,"english, hindi (okay), spanish (poorly)"
42,single,m,straight,fit,anything,socially,never,graduated from ph.d program,asian,71,150000,education / academia,"stanford, california","doesn't have kids, but wants them",has dogs,no,english
29,single,m,straight,average,mostly anything,socially,sometimes,graduated from masters program,"hispanic / latin, white",70,60000,artistic / musical / writer,"berkeley, california","doesn't have kids, but wants them",likes dogs and dislikes cats,no,"english (fluently), spanish (okay), french (poorly), czech (poorly)"
35,single,m,straight,average,mostly other,rarely,never,graduated from college/university,asian,67,30000,entertainment / media,"san francisco, california","doesn't have kids, but might want them",likes dogs,no,english
30,single,m,straight,average,mostly anything,socially,never,graduated from two-year college,asian,69,60000,medicine / health,"san mateo, california","doesn't have kids, but might want them",likes dogs and likes cats,no,english
28,single,m,straight,athletic,mostly anything,socially,sometimes,graduated from college/university,white,73,30000,student,"oakland, california","doesn't have kids, but might want them",has dogs,no,"english (fluently), german (okay)"
